sched,silo_rate,agg_throughput,avg_per_core_throughput,avg_latency,p99_latency
rorke-8000,20000,81572.0,10196.5,2717.29,6995.07
rorke-9000,1000,6837.63,854.704,3.63229,25.7662
rorke-9000,10000,59503.1,7437.89,10.3766,64.8567
rorke-9000,20000,79158.5,9894.81,3013.66,7367.68
rorke-10000,1000,6845.42,855.677,3.91494,27.935
rorke-10000,10000,59426.6,7428.33,11.6113,79.4778
rorke-10000,20000,79665.4,9958.17,2989.64,7693.65
rorke-11000,1000,6861.16,857.645,4.41437,31.4231
rorke-11000,10000,59419.6,7427.46,11.3462,76.0594
rorke-11000,20000,81956.3,10244.5,2897.19,6799.69
rorke-12000,1000,6870.65,858.831,4.79335,34.5848
rorke-12000,10000,59438.5,7429.81,14.0092,102.171
rorke-12000,20000,81854.8,10231.9,2708.68,6977.35
rorke-13000,1000,6861.15,857.644,5.192,37.2352
rorke-13000,10000,59287.6,7410.95,15.1924,99.2404
rorke-13000,20000,80414.7,10051.8,2977.24,7134.16
rorke-14000,1000,6873.02,859.127,5.33711,38.5192
rorke-14000,10000,59164.1,7395.51,17.1688,109.73
rorke-14000,20000,82078.4,10259.8,2786.16,6946.04
rorke-15000,1000,6862.37,857.797,5.78847,41.589
rorke-15000,10000,59242.7,7405.34,17.0288,109.086
rorke-15000,20000,80718.8,10089.8,2952.12,7628.26
