Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         4545.67          ---          ---         1.07732         0.94300         3.53500         5.75900       305.79 
Gets        45450.04     18171.22     27278.83         1.03357         0.91900         3.21500         5.88700      2185.11 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      49995.72     18171.22     27278.83         1.03755         0.92700         3.24700         5.88700      2490.89 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.063        0.000
SET       0.407        5.000
SET       0.527       10.000
SET       0.607       15.000
SET       0.663       20.000
SET       0.719       25.000
SET       0.767       30.000
SET       0.807       35.000
SET       0.855       40.000
SET       0.895       45.000
SET       0.943       50.000
SET       0.967       52.500
SET       0.999       55.000
SET       1.023       57.500
SET       1.055       60.000
SET       1.087       62.500
SET       1.119       65.000
SET       1.159       67.500
SET       1.191       70.000
SET       1.231       72.500
SET       1.271       75.000
SET       1.295       76.250
SET       1.319       77.500
SET       1.343       78.750
SET       1.367       80.000
SET       1.391       81.250
SET       1.423       82.500
SET       1.455       83.750
SET       1.495       85.000
SET       1.543       86.250
SET       1.591       87.500
SET       1.615       88.125
SET       1.647       88.750
SET       1.679       89.375
SET       1.719       90.000
SET       1.751       90.625
SET       1.791       91.250
SET       1.839       91.875
SET       1.895       92.500
SET       1.951       93.125
SET       2.023       93.750
SET       2.063       94.062
SET       2.111       94.375
SET       2.143       94.688
SET       2.191       95.000
SET       2.239       95.312
SET       2.303       95.625
SET       2.351       95.938
SET       2.415       96.250
SET       2.479       96.562
SET       2.559       96.875
SET       2.607       97.031
SET       2.655       97.188
SET       2.703       97.344
SET       2.751       97.500
SET       2.815       97.656
SET       2.863       97.812
SET       2.943       97.969
SET       3.007       98.125
SET       3.071       98.281
SET       3.151       98.438
SET       3.199       98.516
SET       3.247       98.594
SET       3.295       98.672
SET       3.343       98.750
SET       3.407       98.828
SET       3.455       98.906
SET       3.519       98.984
SET       3.583       99.062
SET       3.679       99.141
SET       3.775       99.219
SET       3.823       99.258
SET       3.871       99.297
SET       3.935       99.336
SET       3.999       99.375
SET       4.063       99.414
SET       4.127       99.453
SET       4.191       99.492
SET       4.255       99.531
SET       4.351       99.570
SET       4.447       99.609
SET       4.479       99.629
SET       4.511       99.648
SET       4.543       99.668
SET       4.639       99.688
SET       4.703       99.707
SET       4.767       99.727
SET       4.831       99.746
SET       4.927       99.766
SET       5.023       99.785
SET       5.119       99.805
SET       5.183       99.814
SET       5.279       99.824
SET       5.311       99.834
SET       5.375       99.844
SET       5.439       99.854
SET       5.471       99.863
SET       5.567       99.873
SET       5.631       99.883
SET       5.727       99.893
SET       5.791       99.902
SET       5.855       99.907
SET       5.887       99.912
SET       5.951       99.917
SET       6.015       99.922
SET       6.047       99.927
SET       6.111       99.932
SET       6.207       99.937
SET       6.303       99.941
SET       6.335       99.946
SET       6.495       99.951
SET       6.527       99.954
SET       6.559       99.956
SET       6.591       99.958
SET       6.719       99.961
SET       6.783       99.963
SET       7.103       99.966
SET       7.359       99.968
SET       7.807       99.971
SET       7.999       99.973
SET       8.255       99.976
SET       8.255       99.977
SET       8.319       99.978
SET       8.383       99.979
SET       8.447       99.980
SET       8.831       99.982
SET       8.831       99.983
SET       9.151       99.984
SET       9.471       99.985
SET       9.599       99.987
SET       9.855       99.988
SET       9.983       99.988
SET       9.983       99.989
SET       9.983       99.990
SET      10.047       99.990
SET      10.239       99.991
