Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         4545.45          ---          ---         1.05836         0.96700         2.59100         5.53500       305.77 
Gets        45447.80     18176.85     27270.94         1.04243         0.95100         2.47900         5.91900      2185.39 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      49993.24     18176.85     27270.94         1.04387         0.95100         2.49500         5.88700      2491.16 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.055        0.000
SET       0.487        5.000
SET       0.567       10.000
SET       0.623       15.000
SET       0.663       20.000
SET       0.703       25.000
SET       0.743       30.000
SET       0.791       35.000
SET       0.839       40.000
SET       0.903       45.000
SET       0.967       50.000
SET       0.999       52.500
SET       1.039       55.000
SET       1.071       57.500
SET       1.103       60.000
SET       1.143       62.500
SET       1.175       65.000
SET       1.215       67.500
SET       1.255       70.000
SET       1.287       72.500
SET       1.327       75.000
SET       1.343       76.250
SET       1.367       77.500
SET       1.383       78.750
SET       1.407       80.000
SET       1.431       81.250
SET       1.455       82.500
SET       1.471       83.750
SET       1.495       85.000
SET       1.527       86.250
SET       1.559       87.500
SET       1.575       88.125
SET       1.591       88.750
SET       1.607       89.375
SET       1.631       90.000
SET       1.655       90.625
SET       1.679       91.250
SET       1.703       91.875
SET       1.735       92.500
SET       1.767       93.125
SET       1.799       93.750
SET       1.815       94.062
SET       1.839       94.375
SET       1.855       94.688
SET       1.879       95.000
SET       1.903       95.312
SET       1.935       95.625
SET       1.967       95.938
SET       1.999       96.250
SET       2.031       96.562
SET       2.079       96.875
SET       2.095       97.031
SET       2.111       97.188
SET       2.143       97.344
SET       2.159       97.500
SET       2.191       97.656
SET       2.223       97.812
SET       2.255       97.969
SET       2.287       98.125
SET       2.319       98.281
SET       2.367       98.438
SET       2.383       98.516
SET       2.415       98.594
SET       2.431       98.672
SET       2.463       98.750
SET       2.511       98.828
SET       2.543       98.906
SET       2.591       98.984
SET       2.623       99.062
SET       2.687       99.141
SET       2.767       99.219
SET       2.799       99.258
