Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=1250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        16628.15          ---          ---         0.93820         1.01500         3.53500         6.30300      1118.65 
Gets       166248.49     55599.74    110648.75         0.92801         1.00700         3.47100         6.23900      7347.13 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     182876.64     55599.74    110648.75         0.92893         1.00700         3.47100         6.23900      8465.78 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.039        0.000
SET       0.087        5.000
SET       0.111       10.000
SET       0.127       15.000
SET       0.151       20.000
SET       0.175       25.000
SET       0.199       30.000
SET       0.231       35.000
SET       0.287       40.000
SET       0.391       45.000
SET       1.015       50.000
SET       1.087       52.500
SET       1.135       55.000
SET       1.191       57.500
SET       1.255       60.000
SET       1.343       62.500
SET       1.455       65.000
SET       1.535       67.500
SET       1.575       70.000
SET       1.599       72.500
SET       1.623       75.000
SET       1.631       76.250
SET       1.639       77.500
SET       1.647       78.750
SET       1.655       80.000
SET       1.663       81.250
SET       1.663       82.500
SET       1.671       83.750
SET       1.679       85.000
SET       1.687       86.250
SET       1.695       87.500
SET       1.703       88.125
SET       1.711       88.750
SET       1.719       89.375
SET       1.719       90.000
SET       1.727       90.625
SET       1.743       91.250
SET       1.751       91.875
SET       1.759       92.500
SET       1.775       93.125
SET       1.799       93.750
SET       1.807       94.062
SET       1.823       94.375
SET       1.839       94.688
SET       1.855       95.000
SET       1.879       95.312
SET       1.919       95.625
SET       1.975       95.938
SET       2.063       96.250
SET       2.303       96.562
SET       2.527       96.875
SET       2.639       97.031
SET       2.735       97.188
SET       2.815       97.344
SET       2.895       97.500
SET       2.975       97.656
SET       3.087       97.812
SET       3.167       97.969
SET       3.231       98.125
SET       3.263       98.281
SET       3.311       98.438
SET       3.327       98.516
SET       3.343       98.594
SET       3.359       98.672
SET       3.391       98.750
SET       3.423       98.828
SET       3.455       98.906
SET       3.519       98.984
SET       3.583       99.062
SET       3.695       99.141
SET       3.855       99.219
SET       3.983       99.258
SET       4.063       99.297
SET       4.127       99.336
SET       4.191       99.375
SET       4.287       99.414
SET       4.415       99.453
SET       4.543       99.492
SET       4.671       99.531
SET       4.767       99.570
SET       4.863       99.609
SET       4.895       99.629
SET       4.927       99.648
SET       4.927       99.668
SET       4.959       99.688
SET       4.991       99.707
SET       5.023       99.727
SET       5.055       99.746
SET       5.087       99.766
SET       5.151       99.785
SET       5.247       99.805
SET       5.311       99.814
SET       5.375       99.824
SET       5.471       99.834
SET       5.599       99.844
SET       5.695       99.854
SET       5.759       99.863
SET       5.823       99.873
SET       6.015       99.883
SET       6.175       99.893
SET       6.367       99.902
SET       6.431       99.907
SET       6.463       99.912
SET       6.495       99.917
SET       6.527       99.922
SET       6.591       99.927
SET       6.623       99.932
SET       6.687       99.937
SET       6.751       99.941
SET       6.847       99.946
SET       6.943       99.951
SET       7.007       99.954
SET       7.071       99.956
SET       7.135       99.958
SET       7.295       99.961
SET       7.359       99.963
SET       7.455       99.966
SET       7.615       99.968
SET       7.711       99.971
SET       7.871       99.973
SET       8.063       99.976
SET       8.127       99.977
SET       8.191       99.978
SET       8.255       99.979
SET       8.255       99.980
SET       8.319       99.982
SET       8.383       99.983
SET       8.447       99.984
SET       8.511       99.985
SET       8.575       99.987
SET       8.703       99.988
SET       8.703       99.988
SET       8.831       99.989
SET       8.959       99.990
SET       8.959       99.990
SET       9.023       99.991
SET       9.151       99.991
SET       9.215       99.992
SET       9.407       99.993
SET       9.471       99.993
SET       9.727       99.994
SET       9.791       99.994
SET       9.855       99.995
SET       9.919       99.995
SET       9.919       99.995
SET       9.983       99.995
SET       9.983       99.996
SET      10.367       99.996
SET      10.367       99.996
SET      10.431       99.997
SET      10.495       99.997
SET      10.815       99.997
SET      10.815       99.997
SET      10.815       99.997
SET      10.815       99.998
SET      10.879       99.998
SET      10.943       99.998
SET      11.071       99.998
SET      11.071       99.998
SET      11.135       99.998
SET      11.391       99.998
SET      11.391       99.999
SET      11.519       99.999
SET      11.519       99.999
SET      11.519       99.999
SET      11.583       99.999
SET      11.583       99.999
SET      11.711       99.999
SET      11.711       99.999
SET      11.711       99.999
SET      11.711       99.999
SET      11.711       99.999
SET      11.711       99.999
SET      11.711       99.999
SET      11.711       99.999
SET      11.903       99.999
SET      11.903       99.999
SET      11.903      100.000
SET      11.903      100.000
SET      11.903      100.000
SET      12.095      100.000
SET      12.095      100.000
SET      12.095      100.000
SET      12.095      100.000
SET      12.095      100.000
SET      12.095      100.000
SET      12.095      100.000
SET      12.095      100.000
SET      12.095      100.000
SET      12.095      100.000
SET      13.247      100.000
SET      13.247      100.000
---
GET       0.031        0.000
GET       0.087        5.000
GET       0.103       10.000
GET       0.127       15.000
GET       0.143       20.000
GET       0.167       25.000
GET       0.191       30.000
GET       0.231       35.000
GET       0.279       40.000
GET       0.375       45.000
GET       1.007       50.000
GET       1.079       52.500
GET       1.127       55.000
GET       1.183       57.500
GET       1.247       60.000
GET       1.335       62.500
GET       1.447       65.000
GET       1.527       67.500
GET       1.567       70.000
GET       1.599       72.500
GET       1.615       75.000
GET       1.623       76.250
GET       1.631       77.500
GET       1.639       78.750
GET       1.647       80.000
GET       1.655       81.250
GET       1.663       82.500
GET       1.671       83.750
GET       1.679       85.000
GET       1.687       86.250
GET       1.695       87.500
GET       1.703       88.125
GET       1.703       88.750
GET       1.711       89.375
GET       1.719       90.000
GET       1.727       90.625
GET       1.735       91.250
GET       1.743       91.875
GET       1.751       92.500
GET       1.767       93.125
GET       1.783       93.750
GET       1.799       94.062
GET       1.807       94.375
GET       1.823       94.688
GET       1.839       95.000
GET       1.863       95.312
GET       1.887       95.625
GET       1.935       95.938
GET       1.999       96.250
GET       2.111       96.562
GET       2.415       96.875
GET       2.511       97.031
GET       2.623       97.188
GET       2.735       97.344
GET       2.815       97.500
GET       2.895       97.656
GET       2.991       97.812
GET       3.103       97.969
GET       3.183       98.125
GET       3.231       98.281
GET       3.279       98.438
GET       3.295       98.516
GET       3.327       98.594
GET       3.343       98.672
GET       3.359       98.750
GET       3.391       98.828
GET       3.423       98.906
GET       3.455       98.984
GET       3.519       99.062
GET       3.599       99.141
GET       3.727       99.219
GET       3.807       99.258
GET       3.935       99.297
GET       4.047       99.336
GET       4.127       99.375
GET       4.191       99.414
GET       4.319       99.453
GET       4.447       99.492
GET       4.575       99.531
GET       4.703       99.570
GET       4.799       99.609
GET       4.831       99.629
GET       4.863       99.648
GET       4.895       99.668
GET       4.927       99.688
GET       4.959       99.707
GET       4.991       99.727
GET       5.023       99.746
GET       5.055       99.766
GET       5.119       99.785
GET       5.183       99.805
GET       5.247       99.814
GET       5.311       99.824
GET       5.375       99.834
GET       5.439       99.844
GET       5.567       99.854
GET       5.695       99.863
GET       5.791       99.873
GET       5.919       99.883
GET       6.079       99.893
GET       6.271       99.902
GET       6.335       99.907
GET       6.431       99.912
GET       6.463       99.917
GET       6.527       99.922
GET       6.559       99.927
GET       6.591       99.932
GET       6.655       99.937
GET       6.687       99.941
GET       6.783       99.946
GET       6.847       99.951
GET       6.911       99.954
GET       6.975       99.956
GET       7.039       99.958
GET       7.135       99.961
GET       7.231       99.963
GET       7.327       99.966
GET       7.423       99.968
GET       7.551       99.971
GET       7.711       99.973
GET       7.839       99.976
GET       7.903       99.977
GET       7.967       99.978
GET       8.063       99.979
GET       8.159       99.980
GET       8.191       99.982
GET       8.255       99.983
GET       8.319       99.984
GET       8.383       99.985
GET       8.383       99.987
GET       8.511       99.988
GET       8.511       99.988
GET       8.575       99.989
GET       8.639       99.990
GET       8.703       99.990
GET       8.767       99.991
GET       8.831       99.991
GET       8.959       99.992
GET       9.087       99.993
GET       9.215       99.993
GET       9.343       99.994
GET       9.407       99.994
GET       9.471       99.995
GET       9.535       99.995
GET       9.663       99.995
GET       9.727       99.995
GET       9.855       99.996
GET       9.919       99.996
GET       9.983       99.996
GET      10.047       99.997
GET      10.239       99.997
GET      10.303       99.997
GET      10.367       99.997
GET      10.431       99.997
GET      10.495       99.998
GET      10.559       99.998
GET      10.751       99.998
GET      10.815       99.998
GET      10.879       99.998
GET      10.943       99.998
