Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         4545.59          ---          ---         1.39034         1.58300         3.53500         6.23900       305.78 
Gets        45448.80     18127.52     27321.28         1.38278         1.57500         3.63100         6.55900      2182.48 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      49994.39     18127.52     27321.28         1.38347         1.57500         3.61500         6.55900      2488.26 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.063        0.000
SET       0.207        5.000
SET       0.287       10.000
SET       0.375       15.000
SET       0.519       20.000
SET       0.839       25.000
SET       1.095       30.000
SET       1.239       35.000
SET       1.359       40.000
SET       1.471       45.000
SET       1.583       50.000
SET       1.631       52.500
SET       1.671       55.000
SET       1.703       57.500
SET       1.727       60.000
SET       1.751       62.500
SET       1.775       65.000
SET       1.791       67.500
SET       1.807       70.000
SET       1.823       72.500
SET       1.839       75.000
SET       1.847       76.250
SET       1.855       77.500
SET       1.863       78.750
SET       1.871       80.000
SET       1.887       81.250
SET       1.895       82.500
SET       1.903       83.750
SET       1.919       85.000
SET       1.927       86.250
SET       1.943       87.500
SET       1.951       88.125
SET       1.967       88.750
SET       1.975       89.375
SET       1.991       90.000
SET       1.999       90.625
SET       2.015       91.250
SET       2.039       91.875
SET       2.063       92.500
SET       2.095       93.125
SET       2.143       93.750
SET       2.159       94.062
SET       2.175       94.375
SET       2.207       94.688
SET       2.239       95.000
SET       2.271       95.312
SET       2.303       95.625
SET       2.367       95.938
SET       2.431       96.250
SET       2.495       96.562
SET       2.623       96.875
SET       2.687       97.031
SET       2.751       97.188
SET       2.799       97.344
SET       2.847       97.500
SET       2.895       97.656
SET       2.943       97.812
SET       2.975       97.969
SET       3.023       98.125
SET       3.071       98.281
SET       3.135       98.438
SET       3.167       98.516
SET       3.199       98.594
SET       3.247       98.672
SET       3.295       98.750
SET       3.359       98.828
SET       3.455       98.906
SET       3.519       98.984
SET       3.599       99.062
SET       3.679       99.141
SET       3.775       99.219
SET       3.839       99.258
SET       3.903       99.297
SET       3.999       99.336
SET       4.127       99.375
SET       4.223       99.414
SET       4.287       99.453
SET       4.415       99.492
SET       4.543       99.531
SET       4.735       99.570
SET       4.863       99.609
SET       4.927       99.629
SET       5.023       99.648
SET       5.151       99.668
SET       5.247       99.688
SET       5.311       99.707
SET       5.375       99.727
SET       5.439       99.746
SET       5.503       99.766
SET       5.567       99.785
SET       5.631       99.805
SET       5.695       99.814
SET       5.759       99.824
SET       5.823       99.834
SET       5.887       99.844
SET       5.951       99.854
SET       6.015       99.863
SET       6.047       99.873
SET       6.143       99.883
SET       6.207       99.893
SET       6.271       99.902
SET       6.335       99.907
SET       6.399       99.912
SET       6.431       99.917
SET       6.527       99.922
SET       6.623       99.927
SET       6.751       99.932
SET       6.815       99.937
SET       6.943       99.941
SET       7.071       99.946
SET       7.167       99.951
SET       7.231       99.954
SET       7.423       99.956
SET       7.487       99.958
SET       7.583       99.961
SET       7.647       99.963
SET       7.903       99.966
SET       7.999       99.968
SET       8.319       99.971
SET       8.383       99.973
SET       8.447       99.976
SET       8.639       99.977
SET       8.767       99.978
SET       8.831       99.979
SET       8.831       99.980
SET       8.895       99.982
SET       8.959       99.983
SET       9.023       99.984
SET       9.215       99.985
SET       9.215       99.987
SET       9.407       99.988
SET       9.535       99.988
SET       9.535       99.989
SET       9.535       99.990
SET       9.599       99.990
SET       9.663       99.991
