[2024-12-31 05:04:51] [ 65s ] thds: 40 eps: 889.11 lat (ms,95%): 58.92
[2024-12-31 05:04:52] [ 66s ] thds: 40 eps: 897.80 lat (ms,95%): 58.92
[2024-12-31 05:04:53] [ 67s ] thds: 40 eps: 863.02 lat (ms,95%): 63.32
[2024-12-31 05:04:54] [ 68s ] thds: 40 eps: 836.13 lat (ms,95%): 66.84
[2024-12-31 05:04:55] [ 69s ] thds: 40 eps: 1113.52 lat (ms,95%): 59.99
[2024-12-31 05:04:56] [ 70s ] thds: 40 eps: 1960.40 lat (ms,95%): 51.94
[2024-12-31 05:04:57] [ 71s ] thds: 40 eps: 2399.15 lat (ms,95%): 40.37
[2024-12-31 05:04:58] [ 72s ] thds: 40 eps: 2410.14 lat (ms,95%): 40.37
[2024-12-31 05:04:59] [ 73s ] thds: 40 eps: 2390.47 lat (ms,95%): 40.37
[2024-12-31 05:05:00] [ 74s ] thds: 40 eps: 2255.77 lat (ms,95%): 40.37
[2024-12-31 05:05:01] [ 75s ] thds: 40 eps: 2217.13 lat (ms,95%): 40.37
[2024-12-31 05:05:02] [ 76s ] thds: 40 eps: 2222.16 lat (ms,95%): 40.37
[2024-12-31 05:05:03] [ 77s ] thds: 40 eps: 2229.32 lat (ms,95%): 40.37
[2024-12-31 05:05:04] [ 78s ] thds: 40 eps: 2231.89 lat (ms,95%): 40.37
[2024-12-31 05:05:05] [ 79s ] thds: 40 eps: 2232.10 lat (ms,95%): 40.37
[2024-12-31 05:05:06] [ 80s ] thds: 40 eps: 2213.57 lat (ms,95%): 40.37
[2024-12-31 05:05:07] [ 81s ] thds: 40 eps: 2227.65 lat (ms,95%): 40.37
[2024-12-31 05:05:08] [ 82s ] thds: 40 eps: 2211.22 lat (ms,95%): 40.37
[2024-12-31 05:05:09] [ 83s ] thds: 40 eps: 2237.71 lat (ms,95%): 40.37
[2024-12-31 05:05:10] [ 84s ] thds: 40 eps: 2239.73 lat (ms,95%): 40.37
[2024-12-31 05:05:11] [ 85s ] thds: 40 eps: 2230.43 lat (ms,95%): 40.37
[2024-12-31 05:05:12] [ 86s ] thds: 40 eps: 1024.00 lat (ms,95%): 81.48
[2024-12-31 05:05:13] [ 87s ] thds: 40 eps: 875.93 lat (ms,95%): 82.96
[2024-12-31 05:05:14] [ 88s ] thds: 40 eps: 1188.32 lat (ms,95%): 63.32
[2024-12-31 05:05:15] [ 89s ] thds: 40 eps: 1263.47 lat (ms,95%): 43.39
[2024-12-31 05:05:16] [ 90s ] thds: 40 eps: 1310.69 lat (ms,95%): 43.39
[2024-12-31 05:05:17] [ 91s ] thds: 40 eps: 1239.53 lat (ms,95%): 43.39
[2024-12-31 05:05:18] [ 92s ] thds: 40 eps: 1318.80 lat (ms,95%): 43.39
[2024-12-31 05:05:19] [ 93s ] thds: 40 eps: 1234.80 lat (ms,95%): 43.39
[2024-12-31 05:05:20] [ 94s ] thds: 40 eps: 1264.52 lat (ms,95%): 43.39
[2024-12-31 05:05:21] [ 95s ] thds: 40 eps: 1280.36 lat (ms,95%): 43.39
[2024-12-31 05:05:22] [ 96s ] thds: 40 eps: 1271.48 lat (ms,95%): 43.39
[2024-12-31 05:05:23] [ 97s ] thds: 40 eps: 1258.49 lat (ms,95%): 43.39
[2024-12-31 05:05:24] [ 98s ] thds: 40 eps: 1278.69 lat (ms,95%): 43.39
[2024-12-31 05:05:25] [ 99s ] thds: 40 eps: 1298.11 lat (ms,95%): 43.39
[2024-12-31 05:05:26] [ 100s ] thds: 40 eps: 1280.13 lat (ms,95%): 43.39
[2024-12-31 05:05:27] [ 101s ] thds: 40 eps: 1259.44 lat (ms,95%): 43.39
[2024-12-31 05:05:28] [ 102s ] thds: 40 eps: 1273.13 lat (ms,95%): 43.39
[2024-12-31 05:05:29] [ 103s ] thds: 40 eps: 1249.51 lat (ms,95%): 43.39
[2024-12-31 05:05:30] [ 104s ] thds: 40 eps: 993.62 lat (ms,95%): 65.65
[2024-12-31 05:05:31] [ 105s ] thds: 40 eps: 1444.63 lat (ms,95%): 64.47
[2024-12-31 05:05:32] [ 106s ] thds: 40 eps: 2233.00 lat (ms,95%): 40.37
[2024-12-31 05:05:33] [ 107s ] thds: 40 eps: 2363.70 lat (ms,95%): 40.37
[2024-12-31 05:05:34] [ 108s ] thds: 40 eps: 2408.06 lat (ms,95%): 40.37
[2024-12-31 05:05:35] [ 109s ] thds: 40 eps: 2390.31 lat (ms,95%): 40.37
[2024-12-31 05:05:36] [ 110s ] thds: 40 eps: 2410.76 lat (ms,95%): 40.37
[2024-12-31 05:05:37] [ 111s ] thds: 40 eps: 2423.74 lat (ms,95%): 40.37
[2024-12-31 05:05:38] [ 112s ] thds: 40 eps: 2406.12 lat (ms,95%): 40.37
[2024-12-31 05:05:39] [ 113s ] thds: 40 eps: 2425.21 lat (ms,95%): 40.37
[2024-12-31 05:05:40] [ 114s ] thds: 40 eps: 2423.08 lat (ms,95%): 40.37
[2024-12-31 05:05:41] [ 115s ] thds: 40 eps: 2317.16 lat (ms,95%): 40.37
[2024-12-31 05:05:42] [ 116s ] thds: 40 eps: 2225.98 lat (ms,95%): 40.37
[2024-12-31 05:05:43] [ 117s ] thds: 40 eps: 2224.34 lat (ms,95%): 40.37
[2024-12-31 05:05:44] [ 118s ] thds: 40 eps: 2228.64 lat (ms,95%): 40.37
[2024-12-31 05:05:45] [ 119s ] thds: 40 eps: 2222.57 lat (ms,95%): 40.37
