Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         4049.11          ---          ---         2.73112         1.82300        13.37500        17.27900       272.40 
Gets        40468.29     10822.51     29645.78         2.64638         1.70300        13.31100        17.27900      1627.22 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      44517.40     10822.51     29645.78         2.65409         1.71900        13.31100        17.27900      1899.63 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.103        0.000
SET       0.535        5.000
SET       0.711       10.000
SET       0.871       15.000
SET       1.007       20.000
SET       1.135       25.000
SET       1.247       30.000
SET       1.351       35.000
SET       1.463       40.000
SET       1.615       45.000
SET       1.823       50.000
SET       1.967       52.500
SET       2.127       55.000
SET       2.287       57.500
SET       2.447       60.000
SET       2.591       62.500
SET       2.719       65.000
SET       2.847       67.500
SET       2.975       70.000
SET       3.103       72.500
SET       3.231       75.000
SET       3.311       76.250
SET       3.391       77.500
SET       3.471       78.750
SET       3.551       80.000
SET       3.663       81.250
SET       3.775       82.500
SET       3.903       83.750
SET       4.063       85.000
SET       4.223       86.250
SET       4.447       87.500
SET       4.575       88.125
SET       4.735       88.750
SET       4.863       89.375
SET       5.055       90.000
SET       5.279       90.625
SET       5.535       91.250
SET       5.855       91.875
SET       6.271       92.500
SET       6.751       93.125
SET       7.583       93.750
SET       8.127       94.062
SET       8.767       94.375
SET       9.407       94.688
SET      10.175       95.000
SET      10.815       95.312
SET      11.199       95.625
SET      11.519       95.938
SET      11.711       96.250
SET      11.903       96.562
SET      12.031       96.875
SET      12.095       97.031
SET      12.223       97.188
SET      12.287       97.344
SET      12.351       97.500
SET      12.479       97.656
SET      12.543       97.812
SET      12.607       97.969
SET      12.735       98.125
SET      12.799       98.281
SET      12.927       98.438
SET      12.927       98.516
