Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         3806.75          ---          ---         2.84975         0.77500         7.58300        12.28700       256.07 
Gets        38039.73     10300.86     27738.88         2.83788         0.75900         7.23100        12.22300      1536.96 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      41846.49     10300.86     27738.88         2.83896         0.75900         7.26300        12.22300      1793.03 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.063        0.000
SET       0.151        5.000
SET       0.207       10.000
SET       0.247       15.000
SET       0.287       20.000
SET       0.327       25.000
SET       0.375       30.000
SET       0.423       35.000
SET       0.495       40.000
SET       0.583       45.000
SET       0.775       50.000
SET       1.151       52.500
SET       2.831       55.000
SET       3.391       57.500
SET       3.759       60.000
SET       5.791       62.500
SET       5.919       65.000
SET       5.983       67.500
SET       6.015       70.000
SET       6.047       72.500
SET       6.047       75.000
SET       6.047       76.250
SET       6.079       77.500
SET       6.079       78.750
SET       6.079       80.000
SET       6.079       81.250
SET       6.079       82.500
SET       6.079       83.750
SET       6.111       85.000
SET       6.111       86.250
SET       6.111       87.500
SET       6.111       88.125
SET       6.111       88.750
SET       6.143       89.375
SET       6.143       90.000
SET       6.143       90.625
SET       6.143       91.250
SET       6.175       91.875
SET       6.175       92.500
SET       6.175       93.125
SET       6.207       93.750
SET       6.207       94.062
SET       6.207       94.375
SET       6.207       94.688
SET       6.239       95.000
SET       6.239       95.312
SET       6.239       95.625
SET       6.239       95.938
SET       6.271       96.250
SET       6.271       96.562
SET       6.303       96.875
SET       6.303       97.031
SET       6.303       97.188
SET       6.335       97.344
SET       6.335       97.500
SET       6.367       97.656
SET       6.367       97.812
SET       6.367       97.969
SET       6.399       98.125
SET       6.431       98.281
SET       6.463       98.438
SET       6.495       98.516
SET       6.527       98.594
SET       6.559       98.672
SET       6.623       98.750
SET       6.751       98.828
SET       6.975       98.906
SET       7.487       98.984
SET       7.903       99.062
SET       8.383       99.141
SET       8.895       99.219
SET       8.959       99.258
SET       9.023       99.297
SET       9.087       99.336
SET       9.087       99.375
SET       9.087       99.414
SET       9.151       99.453
SET       9.151       99.492
SET       9.151       99.531
SET       9.215       99.570
SET       9.279       99.609
SET       9.279       99.629
SET       9.279       99.648
SET       9.343       99.668
SET       9.407       99.688
SET       9.471       99.707
SET       9.535       99.727
SET       9.855       99.746
SET      10.495       99.766
SET      11.199       99.785
SET      11.519       99.805
SET      12.031       99.814
SET      12.095       99.824
SET      12.095       99.834
SET      12.159       99.844
SET      12.159       99.854
SET      12.159       99.863
SET      12.159       99.873
SET      12.223       99.883
SET      12.223       99.893
SET      12.351       99.902
SET      12.351       99.907
SET      12.479       99.912
SET      12.543       99.917
SET      12.671       99.922
SET      12.991       99.927
SET      13.311       99.932
SET      14.143       99.937
SET      14.335       99.941
SET      14.399       99.946
SET      14.463       99.951
SET      14.975       99.954
SET      15.039       99.956
SET      15.103       99.958
SET      15.167       99.961
SET      15.167       99.963
SET      15.167       99.966
SET      15.167       99.968
SET      15.231       99.971
SET      15.231       99.973
SET      15.295       99.976
SET      15.295       99.977
SET      15.295       99.978
SET      15.423       99.979
SET      15.423       99.980
SET      15.487       99.982
SET      15.615       99.983
SET      17.151       99.984
SET      18.175       99.985
SET      18.175       99.987
SET      18.175       99.988
SET      18.175       99.988
SET      18.175       99.989
SET      18.303       99.990
SET      18.303       99.990
SET      18.303       99.991
