Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         4545.54          ---          ---         1.08423         0.96700         2.73500         5.53500       305.78 
Gets        45448.70     18181.48     27267.22         1.06016         0.95100         2.54300         5.72700      2185.68 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      49994.23     18181.48     27267.22         1.06235         0.95100         2.57500         5.72700      2491.46 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.063        0.000
SET       0.511        5.000
SET       0.615       10.000
SET       0.671       15.000
SET       0.711       20.000
SET       0.759       25.000
SET       0.791       30.000
SET       0.831       35.000
SET       0.871       40.000
SET       0.919       45.000
SET       0.967       50.000
SET       0.991       52.500
SET       1.023       55.000
SET       1.055       57.500
SET       1.079       60.000
SET       1.119       62.500
SET       1.151       65.000
SET       1.191       67.500
SET       1.239       70.000
SET       1.287       72.500
SET       1.335       75.000
SET       1.359       76.250
SET       1.383       77.500
SET       1.407       78.750
SET       1.431       80.000
SET       1.463       81.250
SET       1.487       82.500
SET       1.519       83.750
SET       1.543       85.000
SET       1.575       86.250
SET       1.607       87.500
SET       1.623       88.125
SET       1.639       88.750
SET       1.663       89.375
SET       1.679       90.000
SET       1.703       90.625
SET       1.719       91.250
SET       1.751       91.875
SET       1.775       92.500
SET       1.807       93.125
SET       1.847       93.750
SET       1.863       94.062
SET       1.887       94.375
SET       1.911       94.688
SET       1.935       95.000
SET       1.959       95.312
SET       1.991       95.625
SET       2.023       95.938
SET       2.063       96.250
SET       2.095       96.562
SET       2.143       96.875
SET       2.175       97.031
SET       2.191       97.188
SET       2.223       97.344
SET       2.255       97.500
SET       2.287       97.656
SET       2.319       97.812
SET       2.351       97.969
SET       2.383       98.125
SET       2.431       98.281
SET       2.479       98.438
SET       2.511       98.516
SET       2.543       98.594
SET       2.575       98.672
SET       2.607       98.750
SET       2.639       98.828
SET       2.687       98.906
SET       2.719       98.984
SET       2.783       99.062
SET       2.863       99.141
SET       2.927       99.219
SET       2.959       99.258
SET       3.007       99.297
SET       3.071       99.336
SET       3.151       99.375
SET       3.215       99.414
SET       3.311       99.453
SET       3.391       99.492
SET       3.519       99.531
SET       3.647       99.570
SET       3.823       99.609
SET       3.903       99.629
SET       4.015       99.648
SET       4.159       99.668
SET       4.223       99.688
SET       4.383       99.707
SET       4.479       99.727
SET       4.575       99.746
SET       4.671       99.766
SET       4.799       99.785
SET       4.895       99.805
SET       4.927       99.814
SET       4.991       99.824
SET       5.055       99.834
SET       5.119       99.844
SET       5.183       99.854
SET       5.279       99.863
SET       5.343       99.873
SET       5.407       99.883
SET       5.503       99.893
SET       5.567       99.902
SET       5.599       99.907
SET       5.631       99.912
SET       5.663       99.917
SET       5.727       99.922
SET       5.791       99.927
SET       5.791       99.932
SET       5.855       99.937
SET       5.919       99.941
SET       5.951       99.946
SET       6.079       99.951
SET       6.079       99.954
SET       6.175       99.956
SET       6.207       99.958
SET       6.239       99.961
SET       6.303       99.963
SET       6.335       99.966
SET       6.399       99.968
SET       6.463       99.971
SET       6.495       99.973
SET       6.655       99.976
SET       6.687       99.977
SET       6.687       99.978
SET       6.783       99.979
SET       6.815       99.980
SET       6.879       99.982
SET       6.879       99.983
SET       7.007       99.984
SET       7.263       99.985
SET       7.455       99.987
SET       7.839       99.988
SET       8.031       99.988
SET       8.255       99.989
SET       8.255       99.990
SET       8.447       99.990
SET       8.639       99.991
