Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=1250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        18661.59          ---          ---         0.84908         0.95900         3.10300         5.56700      1255.45 
Gets       186582.82     66485.20    120097.62         0.83749         0.95900         3.07100         5.40700      8488.36 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     205244.41     66485.20    120097.62         0.83854         0.95900         3.08700         5.40700      9743.81 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.039        0.000
SET       0.095        5.000
SET       0.127       10.000
SET       0.159       15.000
SET       0.199       20.000
SET       0.255       25.000
SET       0.647       30.000
SET       0.759       35.000
SET       0.831       40.000
SET       0.903       45.000
SET       0.959       50.000
SET       0.983       52.500
SET       0.999       55.000
SET       1.007       57.500
SET       1.023       60.000
SET       1.031       62.500
SET       1.039       65.000
SET       1.039       67.500
SET       1.047       70.000
SET       1.055       72.500
SET       1.063       75.000
SET       1.071       76.250
SET       1.079       77.500
SET       1.079       78.750
SET       1.087       80.000
SET       1.095       81.250
SET       1.103       82.500
SET       1.111       83.750
SET       1.119       85.000
SET       1.135       86.250
SET       1.151       87.500
SET       1.167       88.125
SET       1.175       88.750
SET       1.191       89.375
SET       1.207       90.000
SET       1.239       90.625
SET       1.271       91.250
SET       1.327       91.875
SET       1.495       92.500
SET       1.711       93.125
SET       1.831       93.750
SET       1.871       94.062
SET       1.903       94.375
SET       1.935       94.688
SET       1.967       95.000
SET       1.999       95.312
SET       2.023       95.625
SET       2.039       95.938
SET       2.063       96.250
SET       2.095       96.562
SET       2.111       96.875
SET       2.127       97.031
SET       2.143       97.188
SET       2.159       97.344
SET       2.175       97.500
SET       2.191       97.656
SET       2.223       97.812
SET       2.255       97.969
SET       2.303       98.125
SET       2.431       98.281
SET       2.639       98.438
SET       2.799       98.516
SET       2.895       98.594
SET       2.959       98.672
SET       2.991       98.750
SET       3.023       98.828
SET       3.071       98.906
SET       3.103       98.984
SET       3.135       99.062
SET       3.167       99.141
SET       3.215       99.219
SET       3.231       99.258
SET       3.263       99.297
SET       3.295       99.336
SET       3.359       99.375
SET       3.487       99.414
SET       3.663       99.453
SET       3.887       99.492
SET       3.999       99.531
SET       4.063       99.570
SET       4.127       99.609
SET       4.159       99.629
SET       4.159       99.648
SET       4.191       99.668
SET       4.223       99.688
SET       4.255       99.707
SET       4.319       99.727
SET       4.383       99.746
SET       4.479       99.766
SET       4.703       99.785
SET       4.991       99.805
SET       5.055       99.814
SET       5.119       99.824
SET       5.151       99.834
SET       5.183       99.844
SET       5.215       99.854
SET       5.279       99.863
SET       5.311       99.873
SET       5.343       99.883
SET       5.439       99.893
SET       5.599       99.902
SET       5.727       99.907
SET       5.951       99.912
SET       6.047       99.917
SET       6.111       99.922
SET       6.143       99.927
SET       6.207       99.932
SET       6.239       99.937
SET       6.271       99.941
SET       6.335       99.946
SET       6.431       99.951
SET       6.495       99.954
SET       6.591       99.956
SET       6.751       99.958
SET       6.847       99.961
SET       7.007       99.963
SET       7.135       99.966
SET       7.231       99.968
SET       7.263       99.971
SET       7.359       99.973
SET       7.423       99.976
SET       7.423       99.977
SET       7.455       99.978
SET       7.519       99.979
SET       7.679       99.980
SET       7.743       99.982
SET       7.871       99.983
SET       8.031       99.984
SET       8.159       99.985
SET       8.255       99.987
SET       8.319       99.988
SET       8.383       99.988
SET       8.447       99.989
SET       8.447       99.990
SET       8.511       99.990
SET       8.511       99.991
SET       8.575       99.991
SET       8.639       99.992
SET       8.703       99.993
SET       8.959       99.993
SET       9.023       99.994
SET       9.279       99.994
SET       9.343       99.995
SET       9.343       99.995
SET       9.407       99.995
SET       9.535       99.995
SET       9.663       99.996
SET       9.791       99.996
SET       9.983       99.996
SET      10.175       99.997
SET      10.303       99.997
SET      10.303       99.997
SET      10.367       99.997
SET      10.495       99.997
SET      10.495       99.998
SET      10.559       99.998
SET      10.687       99.998
SET      10.687       99.998
SET      10.815       99.998
SET      10.879       99.998
SET      10.943       99.998
SET      10.943       99.999
SET      11.263       99.999
SET      11.263       99.999
SET      13.247       99.999
SET      13.247       99.999
SET      13.311       99.999
SET      13.311       99.999
SET      13.311       99.999
SET      13.567       99.999
SET      13.567       99.999
SET      13.567       99.999
SET      13.631       99.999
SET      13.631       99.999
SET      13.631       99.999
SET      13.631       99.999
SET      14.655       99.999
SET      14.655      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      14.655      100.000
SET      15.615      100.000
SET      15.615      100.000
SET      15.615      100.000
SET      15.615      100.000
SET      15.615      100.000
SET      15.615      100.000
SET      15.615      100.000
SET      15.615      100.000
SET      15.615      100.000
SET      15.615      100.000
SET      15.679      100.000
SET      15.679      100.000
---
GET       0.039        0.000
GET       0.095        5.000
GET       0.119       10.000
GET       0.151       15.000
GET       0.191       20.000
GET       0.247       25.000
GET       0.615       30.000
GET       0.751       35.000
GET       0.823       40.000
GET       0.895       45.000
GET       0.959       50.000
GET       0.975       52.500
GET       0.991       55.000
GET       1.007       57.500
GET       1.015       60.000
GET       1.023       62.500
GET       1.031       65.000
GET       1.039       67.500
GET       1.047       70.000
GET       1.055       72.500
GET       1.063       75.000
GET       1.071       76.250
GET       1.071       77.500
GET       1.079       78.750
GET       1.087       80.000
GET       1.087       81.250
GET       1.095       82.500
GET       1.103       83.750
GET       1.119       85.000
GET       1.127       86.250
GET       1.143       87.500
GET       1.151       88.125
GET       1.167       88.750
GET       1.175       89.375
GET       1.191       90.000
GET       1.215       90.625
GET       1.239       91.250
GET       1.279       91.875
GET       1.351       92.500
GET       1.575       93.125
GET       1.775       93.750
GET       1.831       94.062
GET       1.871       94.375
GET       1.911       94.688
GET       1.943       95.000
GET       1.975       95.312
GET       1.999       95.625
GET       2.023       95.938
GET       2.047       96.250
GET       2.079       96.562
GET       2.095       96.875
GET       2.111       97.031
GET       2.127       97.188
GET       2.127       97.344
GET       2.143       97.500
GET       2.159       97.656
GET       2.191       97.812
GET       2.223       97.969
GET       2.255       98.125
GET       2.319       98.281
GET       2.463       98.438
GET       2.591       98.516
GET       2.751       98.594
GET       2.879       98.672
GET       2.943       98.750
GET       2.991       98.828
GET       3.039       98.906
GET       3.071       98.984
GET       3.103       99.062
GET       3.135       99.141
GET       3.183       99.219
GET       3.199       99.258
GET       3.231       99.297
GET       3.263       99.336
GET       3.295       99.375
GET       3.359       99.414
GET       3.487       99.453
GET       3.695       99.492
GET       3.935       99.531
GET       4.031       99.570
GET       4.095       99.609
GET       4.127       99.629
GET       4.159       99.648
GET       4.191       99.668
GET       4.223       99.688
GET       4.255       99.707
GET       4.287       99.727
GET       4.319       99.746
GET       4.383       99.766
GET       4.511       99.785
GET       4.767       99.805
GET       4.927       99.814
GET       5.023       99.824
GET       5.087       99.834
GET       5.119       99.844
GET       5.183       99.854
GET       5.215       99.863
GET       5.247       99.873
GET       5.279       99.883
GET       5.343       99.893
GET       5.407       99.902
GET       5.471       99.907
GET       5.567       99.912
GET       5.695       99.917
GET       5.855       99.922
GET       6.015       99.927
GET       6.111       99.932
GET       6.175       99.937
GET       6.207       99.941
GET       6.271       99.946
GET       6.335       99.951
GET       6.367       99.954
GET       6.399       99.956
GET       6.431       99.958
GET       6.527       99.961
GET       6.623       99.963
GET       6.815       99.966
GET       7.071       99.968
GET       7.199       99.971
GET       7.263       99.973
GET       7.327       99.976
GET       7.359       99.977
GET       7.391       99.978
GET       7.455       99.979
GET       7.487       99.980
GET       7.583       99.982
GET       7.775       99.983
GET       7.999       99.984
GET       8.127       99.985
GET       8.255       99.987
GET       8.319       99.988
GET       8.319       99.988
GET       8.383       99.989
GET       8.383       99.990
GET       8.447       99.990
GET       8.447       99.991
GET       8.447       99.991
GET       8.511       99.992
GET       8.575       99.993
GET       8.703       99.993
GET       8.959       99.994
GET       9.087       99.994
GET       9.215       99.995
GET       9.279       99.995
GET       9.279       99.995
GET       9.343       99.995
GET       9.407       99.996
GET       9.471       99.996
GET       9.471       99.996
GET       9.535       99.997
GET       9.599       99.997
GET       9.663       99.997
GET       9.791       99.997
GET       9.919       99.997
GET       9.983       99.998
GET      10.047       99.998
GET      10.111       99.998
GET      10.239       99.998
