Executing: memtier_benchmark -h 128.110.218.200 -p 11211 --ratio=1:10 --test-time=30 --rate-limiting=1250 -t 8 -c 25 --key-pattern=P:P --key-maximum 1000000 -P memcache_text
8         Threads
25        Connections per thread
30        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        16191.66          ---          ---         0.94593         0.33500         4.03100         6.49500      1089.29 
Gets       161882.34     54323.45    107558.88         0.93604         0.32700         4.01500         6.43100      7165.01 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     178074.00     54323.45    107558.88         0.93694         0.32700         4.01500         6.43100      8254.29 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.039        0.000
SET       0.087        5.000
SET       0.103       10.000
SET       0.127       15.000
SET       0.143       20.000
SET       0.159       25.000
SET       0.175       30.000
SET       0.199       35.000
SET       0.231       40.000
SET       0.271       45.000
SET       0.335       50.000
SET       0.391       52.500
SET       0.503       55.000
SET       1.143       57.500
SET       1.247       60.000
SET       1.319       62.500
SET       1.383       65.000
SET       1.471       67.500
SET       1.591       70.000
SET       1.775       72.500
SET       1.911       75.000
SET       1.943       76.250
SET       1.967       77.500
SET       1.983       78.750
SET       1.991       80.000
SET       2.007       81.250
SET       2.015       82.500
SET       2.023       83.750
SET       2.031       85.000
SET       2.039       86.250
SET       2.047       87.500
SET       2.063       88.125
SET       2.063       88.750
SET       2.079       89.375
SET       2.079       90.000
SET       2.079       90.625
SET       2.095       91.250
SET       2.095       91.875
SET       2.111       92.500
SET       2.127       93.125
SET       2.143       93.750
SET       2.143       94.062
SET       2.159       94.375
SET       2.159       94.688
SET       2.175       95.000
SET       2.191       95.312
SET       2.207       95.625
SET       2.239       95.938
SET       2.255       96.250
SET       2.303       96.562
SET       2.367       96.875
SET       2.415       97.031
SET       2.479       97.188
SET       2.575       97.344
SET       2.751       97.500
SET       2.943       97.656
SET       3.039       97.812
SET       3.135       97.969
SET       3.247       98.125
SET       3.343       98.281
SET       3.471       98.438
SET       3.551       98.516
SET       3.663       98.594
SET       3.775       98.672
SET       3.887       98.750
SET       3.951       98.828
SET       3.999       98.906
SET       4.031       98.984
SET       4.063       99.062
SET       4.127       99.141
SET       4.159       99.219
SET       4.191       99.258
SET       4.223       99.297
SET       4.287       99.336
SET       4.319       99.375
SET       4.383       99.414
SET       4.479       99.453
SET       4.607       99.492
SET       4.895       99.531
SET       5.087       99.570
SET       5.247       99.609
SET       5.311       99.629
SET       5.375       99.648
SET       5.471       99.668
SET       5.599       99.688
SET       5.759       99.707
SET       5.855       99.727
SET       5.951       99.746
SET       5.983       99.766
SET       6.047       99.785
SET       6.079       99.805
SET       6.111       99.814
SET       6.143       99.824
SET       6.175       99.834
SET       6.207       99.844
SET       6.239       99.854
SET       6.271       99.863
SET       6.303       99.873
SET       6.367       99.883
SET       6.431       99.893
SET       6.527       99.902
SET       6.623       99.907
SET       6.815       99.912
SET       7.007       99.917
SET       7.103       99.922
SET       7.167       99.927
SET       7.295       99.932
SET       7.423       99.937
SET       7.583       99.941
SET       7.775       99.946
SET       7.903       99.951
SET       7.935       99.954
SET       7.967       99.956
SET       7.999       99.958
SET       8.031       99.961
SET       8.063       99.963
SET       8.063       99.966
SET       8.095       99.968
SET       8.127       99.971
SET       8.159       99.973
SET       8.255       99.976
SET       8.255       99.977
SET       8.319       99.978
SET       8.383       99.979
SET       8.447       99.980
SET       8.511       99.982
SET       8.575       99.983
SET       8.703       99.984
SET       8.831       99.985
SET       8.959       99.987
SET       9.087       99.988
SET       9.151       99.988
SET       9.279       99.989
SET       9.343       99.990
SET       9.471       99.990
SET       9.535       99.991
SET       9.663       99.991
SET       9.855       99.992
SET       9.855       99.993
SET       9.983       99.993
SET      10.047       99.994
SET      10.047       99.994
SET      10.047       99.995
SET      10.111       99.995
SET      10.175       99.995
SET      10.239       99.995
SET      10.239       99.996
SET      10.303       99.996
SET      10.687       99.996
SET      11.327       99.997
SET      11.455       99.997
SET      11.455       99.997
SET      11.519       99.997
SET      11.775       99.997
SET      11.903       99.998
SET      11.903       99.998
SET      12.031       99.998
SET      12.095       99.998
SET      12.095       99.998
SET      12.095       99.998
SET      12.159       99.998
SET      12.159       99.999
SET      12.287       99.999
SET      12.287       99.999
SET      12.351       99.999
SET      12.351       99.999
SET      12.351       99.999
SET      12.351       99.999
SET      12.351       99.999
SET      12.351       99.999
SET      12.479       99.999
SET      12.479       99.999
SET      12.479       99.999
SET      12.479       99.999
SET      12.607       99.999
SET      12.607       99.999
SET      12.607       99.999
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      13.247      100.000
SET      13.247      100.000
---
GET       0.039        0.000
GET       0.087        5.000
GET       0.103       10.000
GET       0.119       15.000
GET       0.135       20.000
GET       0.151       25.000
GET       0.175       30.000
GET       0.199       35.000
GET       0.223       40.000
GET       0.263       45.000
GET       0.327       50.000
GET       0.375       52.500
GET       0.479       55.000
GET       1.111       57.500
GET       1.239       60.000
GET       1.311       62.500
GET       1.375       65.000
GET       1.463       67.500
GET       1.583       70.000
GET       1.767       72.500
GET       1.911       75.000
GET       1.943       76.250
GET       1.959       77.500
GET       1.975       78.750
GET       1.991       80.000
GET       1.999       81.250
GET       2.007       82.500
GET       2.015       83.750
GET       2.031       85.000
GET       2.039       86.250
GET       2.047       87.500
GET       2.063       88.125
GET       2.063       88.750
GET       2.063       89.375
GET       2.079       90.000
GET       2.079       90.625
GET       2.095       91.250
GET       2.095       91.875
GET       2.111       92.500
GET       2.111       93.125
GET       2.127       93.750
GET       2.143       94.062
GET       2.143       94.375
GET       2.159       94.688
GET       2.175       95.000
GET       2.175       95.312
GET       2.191       95.625
GET       2.223       95.938
GET       2.239       96.250
GET       2.271       96.562
GET       2.335       96.875
GET       2.367       97.031
GET       2.415       97.188
GET       2.495       97.344
GET       2.607       97.500
GET       2.799       97.656
GET       2.959       97.812
GET       3.055       97.969
GET       3.167       98.125
GET       3.263       98.281
GET       3.375       98.438
GET       3.439       98.516
GET       3.519       98.594
GET       3.631       98.672
GET       3.759       98.750
GET       3.887       98.828
GET       3.951       98.906
GET       3.999       98.984
GET       4.047       99.062
GET       4.079       99.141
GET       4.127       99.219
GET       4.159       99.258
GET       4.191       99.297
GET       4.223       99.336
GET       4.287       99.375
GET       4.319       99.414
GET       4.383       99.453
GET       4.479       99.492
GET       4.639       99.531
GET       4.895       99.570
GET       5.119       99.609
GET       5.183       99.629
GET       5.279       99.648
GET       5.375       99.668
GET       5.471       99.688
GET       5.599       99.707
GET       5.759       99.727
GET       5.887       99.746
GET       5.951       99.766
GET       6.015       99.785
GET       6.047       99.805
GET       6.079       99.814
GET       6.111       99.824
GET       6.143       99.834
GET       6.175       99.844
GET       6.207       99.854
GET       6.239       99.863
GET       6.271       99.873
GET       6.303       99.883
GET       6.367       99.893
GET       6.463       99.902
GET       6.527       99.907
GET       6.623       99.912
GET       6.751       99.917
GET       6.943       99.922
GET       7.071       99.927
GET       7.199       99.932
GET       7.295       99.937
GET       7.455       99.941
GET       7.615       99.946
GET       7.807       99.951
GET       7.871       99.954
GET       7.935       99.956
GET       7.967       99.958
GET       7.999       99.961
GET       8.031       99.963
GET       8.063       99.966
GET       8.095       99.968
GET       8.127       99.971
GET       8.159       99.973
GET       8.255       99.976
GET       8.255       99.977
GET       8.255       99.978
GET       8.319       99.979
GET       8.383       99.980
GET       8.383       99.982
GET       8.447       99.983
GET       8.511       99.984
GET       8.575       99.985
GET       8.703       99.987
GET       8.895       99.988
GET       8.959       99.988
GET       9.023       99.989
GET       9.151       99.990
GET       9.215       99.990
GET       9.343       99.991
GET       9.407       99.991
GET       9.535       99.992
GET       9.599       99.993
GET       9.791       99.993
GET       9.919       99.994
GET       9.983       99.994
GET      10.047       99.995
GET      10.047       99.995
GET      10.047       99.995
GET      10.111       99.995
GET      10.175       99.996
GET      10.175       99.996
GET      10.239       99.996
GET      10.367       99.997
GET      10.495       99.997
GET      10.495       99.997
GET      10.623       99.997
GET      10.687       99.997
GET      10.751       99.998
GET      10.879       99.998
GET      11.263       99.998
GET      11.391       99.998
GET      11.647       99.998
GET      11.967       99.998
